title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Terminator",movie,"Action, Adventure, Sci-Fi",1984,tt0088247,8.1,948034,"HK, MY, PH, SG, TW"
"East of Eden",movie,Drama,1955,tt0048028,7.8,49665,"BE, FR, MC"
"Rebel Without a Cause",movie,Drama,1955,tt0048545,7.6,99610,"BE, FR, MC"
"Berlin: Symphony of Metropolis",movie,Documentary,1927,tt0017668,7.6,4894,US
"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,55004,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,135630,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2074630,"AD, ES, PT"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1400141,"AD, ES, PT"
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,193895,"FR, MC, NL"
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,233225,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,454327,"BE, FR, MC"
"The 39 Steps",movie,"Crime, Mystery, Thriller",1935,tt0026029,7.6,62870,US
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,414231,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,89872,US
"Batman Begins",movie,"Action, Drama",2005,tt0372784,8.2,1617216,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Underworld,movie,"Action, Fantasy, Thriller",2003,tt0320691,7,290541,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2974165,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1207660,"FR, MC"
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,620425,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,273405,"HK, ID, MY, PH, SG, TH, TW"
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,373429,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Rio Bravo",movie,Western,1959,tt0053221,8,69819,"BE, FR, MC"
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,30221,US
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,444475,"DK, FI, NO, SE"
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,127831,"AD, BE, ES, FR, MC, PT"
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,496235,"BE, FR, MC, PT"
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146243,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1096360,US
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,452593,US
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,347358,US
Magnolia,movie,Drama,1999,tt0175880,8,334092,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,67630,US
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,388333,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Seven Samurai",movie,Drama,1954,tt0047478,8.6,376604,US
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,487212,"AD, ES, PT, US"
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,335448,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,273242,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Rain Man",movie,Drama,1988,tt0095953,8,556537,"BA, BG, CZ, HK, HR, HU, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TW"
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,405749,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Who's Afraid of Virginia Woolf?",movie,Drama,1966,tt0061184,8,81490,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"French Kiss",movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,54244,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"La Strada",movie,Drama,1954,tt0047528,8,67567,US
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,206449,"HK, MY, PH, SG, TW"
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,271252,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,272771,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
8½,movie,Drama,1963,tt0056801,8,127507,US
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,943479,"FR, MC"
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.3,437849,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"My Uncle",movie,Comedy,1958,tt0050706,7.7,24740,US
"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36575,"AR, BA, BG, BO, BR, CL, CO, CR, CZ, DO, EC, GT, HK, HN, HR, HU, ID, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PY, RO, RS, SG, SI, SK, SV, TH, TW, US, UY, VE"
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86930,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,138131,US
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1007206,"HK, ID, MY, PH, SG, TW"
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.4,228126,"BA, BE, BG, CZ, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41459,US
"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,122938,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1106964,"AD, ES, HK, ID, MY, PH, SG, TH, TW"
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,203736,US
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1450740,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PY, SV, TC, TT, UY, VE"
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28623,US
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,111992,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,55284,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,541997,NL
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,354691,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1097216,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PY, SV, TC, TT, UY, VE"
Scoop,movie,"Comedy, Crime, Fantasy",2006,tt0457513,6.6,88590,"FR, MC"
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,149245,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TT, TW, UY, VE"
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,382604,"HK, ID, MY, PH, SG, TH, TW, US"
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,738846,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Crime of Padre Amaro",movie,"Drama, Romance",2002,tt0313196,6.7,14591,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,185744,US
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,904519,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,730338,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,655417,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,384684,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,473993,"BE, FR, MC"
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,384481,"HK, ID, MY, PH, SG, TH, TW"
"Rear Window",movie,"Drama, Mystery, Thriller",1954,tt0047396,8.5,536321,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,321878,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,210162,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Frenzy,movie,Thriller,1972,tt0068611,7.4,50548,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Man Who Knew Too Much",movie,"Drama, Thriller",1956,tt0049470,7.4,71512,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Wild Bunch",movie,"Action, Adventure, Drama",1969,tt0065214,7.9,91929,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,466845,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Solaris,movie,"Drama, Mystery, Sci-Fi",1972,tt0069293,7.9,100397,US
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1316021,"AD, DK, ES, FI, NO, PT, SE"
"City of God",movie,"Crime, Drama",2002,tt0317248,8.6,821507,"AD, AR, BO, BR, CL, CO, CR, DO, EC, ES, FR, GT, HN, MC, MX, NI, PA, PE, PT, PY, SV, UY, VE"
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,808724,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Independence Day",movie,"Action, Adventure, Sci-Fi",1996,tt0116629,7,619232,US
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2110514,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,643365,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,553648,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
